X,Y,track_fid,track_seg_id,track_seg_point_id,ele,time,,,
-114.78365,50.867542,0,0,0,1499.5,4/9/2023,7:03:06 PM,,
-114.78378,50.867527,0,0,1,1500,4/9/2023,7:03:11 PM,0:00:05,1500
-114.78393,50.867546,0,0,2,1500.8,4/9/2023,7:03:19 PM,0:00:13,1500.8
-114.78407,50.86758,0,0,3,1501.7,4/9/2023,7:03:28 PM,0:00:22,1501.7
-114.78422,50.867596,0,0,4,1502.6,4/9/2023,7:03:36 PM,0:00:30,1502.6
-114.78433,50.867653,0,0,5,1503.6,4/9/2023,7:03:44 PM,0:00:38,1503.6
-114.784424,50.867737,0,0,6,1505.2,4/9/2023,7:03:53 PM,0:00:47,1505.2
-114.78446,50.867836,0,0,7,1506.7,4/9/2023,7:04:03 PM,0:00:57,1506.7
-114.7846,50.867878,0,0,8,1508.1,4/9/2023,7:04:28 PM,0:01:22,1508.1
-114.784744,50.8679,0,0,9,1509.2,4/9/2023,7:04:35 PM,0:01:29,1509.2
-114.78488,50.86795,0,0,10,1510.4,4/9/2023,7:04:43 PM,0:01:37,1510.4
-114.78502,50.867924,0,0,11,1511.5,4/9/2023,7:04:50 PM,0:01:44,1511.5
-114.78516,50.86789,0,0,12,1512.4,4/9/2023,7:04:58 PM,0:01:52,1512.4
-114.785286,50.86784,0,0,13,1513.1,4/9/2023,7:05:05 PM,0:01:59,1513.1
-114.78542,50.867786,0,0,14,1513.5,4/9/2023,7:05:14 PM,0:02:08,1513.5
-114.78556,50.867775,0,0,15,1513.5,4/9/2023,7:05:22 PM,0:02:16,1513.5
-114.78569,50.867733,0,0,16,1513.4,4/9/2023,7:05:33 PM,0:02:27,1513.4
-114.78581,50.867676,0,0,17,1513.2,4/9/2023,7:05:44 PM,0:02:38,1513.2
-114.78596,50.86765,0,0,18,1513,4/9/2023,7:05:52 PM,0:02:46,1513
-114.78609,50.8676,0,0,19,1512.8,4/9/2023,7:05:58 PM,0:02:52,1512.8
-114.7862,50.86754,0,0,20,1512.8,4/9/2023,7:06:03 PM,0:02:57,1512.8
-114.78637,50.86749,0,0,21,1512.7,4/9/2023,7:06:10 PM,0:03:04,1512.7
-114.7865,50.867443,0,0,22,1512.9,4/9/2023,7:06:16 PM,0:03:10,1512.9
-114.78663,50.86739,0,0,23,1513.4,4/9/2023,7:06:28 PM,0:03:22,1513.4
-114.78675,50.86734,0,0,24,1514,4/9/2023,7:06:35 PM,0:03:29,1514
-114.78688,50.867287,0,0,25,1514.8,4/9/2023,7:06:43 PM,0:03:37,1514.8
-114.78702,50.867233,0,0,26,1515.7,4/9/2023,7:06:50 PM,0:03:44,1515.7
-114.78713,50.8673,0,0,27,1516.8,4/9/2023,7:07:06 PM,0:04:00,1516.8
-114.787285,50.867325,0,0,28,1518,4/9/2023,7:07:21 PM,0:04:15,1518
-114.78733,50.86741,0,0,29,1519,4/9/2023,7:07:40 PM,0:04:34,1519
-114.78719,50.867447,0,0,30,1520,4/9/2023,7:08:06 PM,0:05:00,1520
-114.78707,50.867493,0,0,31,1521,4/9/2023,7:08:15 PM,0:05:09,1521
-114.78695,50.867554,0,0,32,1521.9,4/9/2023,7:08:32 PM,0:05:26,1521.9
-114.786835,50.86762,0,0,33,1522.5,4/9/2023,7:08:42 PM,0:05:36,1522.5
-114.786964,50.867565,0,0,34,1523.2,4/9/2023,7:09:20 PM,0:06:14,1523.2
-114.787094,50.867516,0,0,35,1523.5,4/9/2023,7:09:30 PM,0:06:24,1523.5
-114.787224,50.86746,0,0,36,1523.8,4/9/2023,7:09:39 PM,0:06:33,1523.8
-114.78736,50.86742,0,0,37,1524.4,4/9/2023,7:09:47 PM,0:06:41,1524.4
-114.78751,50.867424,0,0,38,1525,4/9/2023,7:10:07 PM,0:07:01,1525
-114.78766,50.867443,0,0,39,1525.6,4/9/2023,7:10:28 PM,0:07:22,1525.6
-114.78781,50.86744,0,0,40,1526.7,4/9/2023,7:10:45 PM,0:07:39,1526.7
-114.787926,50.867504,0,0,41,1528.2,4/9/2023,7:11:44 PM,0:08:38,1528.2
-114.78785,50.86758,0,0,42,1530.1,4/9/2023,7:11:56 PM,0:08:50,1530.1
-114.78774,50.867657,0,0,43,1532.4,4/9/2023,7:12:10 PM,0:09:04,1532.4
-114.78763,50.867725,0,0,44,1534.9,4/9/2023,7:12:24 PM,0:09:18,1534.9
-114.78755,50.867813,0,0,45,1537.7,4/9/2023,7:12:36 PM,0:09:30,1537.7
-114.78744,50.86787,0,0,46,1541,4/9/2023,7:12:48 PM,0:09:42,1541
-114.787346,50.86795,0,0,47,1544.5,4/9/2023,7:13:07 PM,0:10:01,1544.5
-114.78741,50.86804,0,0,48,1547.9,4/9/2023,7:13:20 PM,0:10:14,1547.9
-114.78739,50.868126,0,0,49,1551.4,4/9/2023,7:13:35 PM,0:10:29,1551.4
-114.78731,50.868206,0,0,50,1554.8,4/9/2023,7:13:49 PM,0:10:43,1554.8
-114.787186,50.868256,0,0,51,1558.3,4/9/2023,7:14:36 PM,0:11:30,1558.3
-114.78705,50.868305,0,0,52,1561.6,4/9/2023,7:14:53 PM,0:11:47,1561.6
-114.78699,50.86839,0,0,53,1564.8,4/9/2023,7:15:07 PM,0:12:01,1564.8
-114.78698,50.868484,0,0,54,1567.9,4/9/2023,7:15:46 PM,0:12:40,1567.9
-114.78699,50.868576,0,0,55,1570.8,4/9/2023,7:15:58 PM,0:12:52,1570.8
-114.78702,50.868668,0,0,56,1573.4,4/9/2023,7:16:10 PM,0:13:04,1573.4
-114.78703,50.868755,0,0,57,1575.5,4/9/2023,7:16:23 PM,0:13:17,1575.5
-114.786995,50.868847,0,0,58,1577.8,4/9/2023,7:16:39 PM,0:13:33,1577.8
-114.78699,50.868942,0,0,59,1580,4/9/2023,7:17:09 PM,0:14:03,1580
-114.78696,50.869034,0,0,60,1582.2,4/9/2023,7:17:22 PM,0:14:16,1582.2
-114.786995,50.869118,0,0,61,1584.4,4/9/2023,7:17:43 PM,0:14:37,1584.4
-114.78704,50.869205,0,0,62,1586.5,4/9/2023,7:17:56 PM,0:14:50,1586.5
-114.78704,50.8693,0,0,63,1588.5,4/9/2023,7:18:10 PM,0:15:04,1588.5
-114.78709,50.869408,0,0,64,1590.4,4/9/2023,7:19:14 PM,0:16:08,1590.4
-114.787056,50.8695,0,0,65,1592.1,4/9/2023,7:19:26 PM,0:16:20,1592.1
-114.78706,50.86959,0,0,66,1593.7,4/9/2023,7:19:38 PM,0:16:32,1593.7
-114.787,50.86968,0,0,67,1595.5,4/9/2023,7:19:50 PM,0:16:44,1595.5
-114.78704,50.869766,0,0,68,1597.2,4/9/2023,7:20:03 PM,0:16:57,1597.2
-114.7871,50.869854,0,0,69,1598.8,4/9/2023,7:20:16 PM,0:17:10,1598.8
-114.78717,50.869938,0,0,70,1600.5,4/9/2023,7:20:26 PM,0:17:20,1600.5
-114.787224,50.87002,0,0,71,1601.9,4/9/2023,7:20:36 PM,0:17:30,1601.9
-114.78725,50.870125,0,0,72,1603.4,4/9/2023,7:20:51 PM,0:17:45,1603.4
-114.78731,50.87021,0,0,73,1604.6,4/9/2023,7:21:02 PM,0:17:56,1604.6
-114.78737,50.870293,0,0,74,1605.8,4/9/2023,7:21:12 PM,0:18:06,1605.8
-114.78739,50.870384,0,0,75,1607.1,4/9/2023,7:21:25 PM,0:18:19,1607.1
-114.78746,50.87047,0,0,76,1608.3,4/9/2023,7:21:35 PM,0:18:29,1608.3
-114.78748,50.87057,0,0,77,1609.5,4/9/2023,7:21:48 PM,0:18:42,1609.5
-114.787605,50.870617,0,0,78,1610.6,4/9/2023,7:22:02 PM,0:18:56,1610.6
-114.78763,50.87071,0,0,79,1611.8,4/9/2023,7:22:14 PM,0:19:08,1611.8
-114.78773,50.870773,0,0,80,1612.9,4/9/2023,7:22:26 PM,0:19:20,1612.9
-114.78783,50.870846,0,0,81,1614,4/9/2023,7:22:38 PM,0:19:32,1614
-114.787895,50.87093,0,0,82,1615.2,4/9/2023,7:22:50 PM,0:19:44,1615.2
-114.78794,50.871017,0,0,83,1616.4,4/9/2023,7:23:02 PM,0:19:56,1616.4
-114.78801,50.871098,0,0,84,1617.6,4/9/2023,7:23:13 PM,0:20:07,1617.6
-114.78811,50.871162,0,0,85,1618.9,4/9/2023,7:23:24 PM,0:20:18,1618.9
-114.788155,50.871258,0,0,86,1620.4,4/9/2023,7:23:36 PM,0:20:30,1620.4
-114.78826,50.87132,0,0,87,1622.2,4/9/2023,7:23:47 PM,0:20:41,1622.2
-114.78835,50.87139,0,0,88,1624.1,4/9/2023,7:23:57 PM,0:20:51,1624.1
-114.78847,50.871445,0,0,89,1625.9,4/9/2023,7:24:07 PM,0:21:01,1625.9
-114.788605,50.8715,0,0,90,1627.9,4/9/2023,7:24:19 PM,0:21:13,1627.9
-114.78865,50.871582,0,0,91,1630,4/9/2023,7:24:34 PM,0:21:28,1630
-114.78874,50.871662,0,0,92,1632,4/9/2023,7:24:44 PM,0:21:38,1632
-114.78883,50.871742,0,0,93,1634,4/9/2023,7:25:00 PM,0:21:54,1634
-114.788956,50.871784,0,0,94,1636,4/9/2023,7:25:13 PM,0:22:07,1636
-114.78901,50.871872,0,0,95,1638,4/9/2023,7:25:24 PM,0:22:18,1638
-114.78911,50.87195,0,0,96,1639.9,4/9/2023,7:25:35 PM,0:22:29,1639.9
-114.78919,50.87203,0,0,97,1641.5,4/9/2023,7:25:44 PM,0:22:38,1641.5
-114.78926,50.872112,0,0,98,1642.7,4/9/2023,7:25:52 PM,0:22:46,1642.7
-114.78932,50.872196,0,0,99,1643.9,4/9/2023,7:26:01 PM,0:22:55,1643.9
-114.789406,50.87228,0,0,100,1645.2,4/9/2023,7:26:10 PM,0:23:04,1645.2
-114.789505,50.87235,0,0,101,1646.4,4/9/2023,7:26:27 PM,0:23:21,1646.4
-114.78959,50.872425,0,0,102,1647.6,4/9/2023,7:26:45 PM,0:23:39,1647.6
-114.78966,50.87251,0,0,103,1648.9,4/9/2023,7:27:03 PM,0:23:57,1648.9
-114.78976,50.8726,0,0,104,1650.2,4/9/2023,7:29:03 PM,0:25:57,1650.2
-114.789825,50.872684,0,0,105,1651.2,4/9/2023,7:29:15 PM,0:26:09,1651.2
-114.789894,50.872765,0,0,106,1652.2,4/9/2023,7:29:27 PM,0:26:21,1652.2
-114.78999,50.872833,0,0,107,1653.4,4/9/2023,7:29:37 PM,0:26:31,1653.4
-114.79006,50.872913,0,0,108,1654.7,4/9/2023,7:30:00 PM,0:26:54,1654.7
